"Location","Latitude starting","Latitude ending","Longitude starting","Longitude ending","Crop","Season","Required temperature for crop","Crop price","Temperature©","Humdity(%)","Ph","rainfall(mm)","Soil type"
"North 24 PGNS","22.11","23.15","88.9","89.5","Paddy","Kharif","25","1750","30","70","5.5","1525","Alluvial"
"North 24 PGNS","22.11","23.15","88.9","89.5","Wheat","Rabi","24","1700","29","55","5.5","1525","Alluvial"
"North 24 PGNS","22.11","23.15","88.9","89.5","Jute","Kharif","30","5400","33","80","5.5","1525","Alluvial"
"Nadia","22.53","24.11","88.9","88.45","Cauliflower","Rabi","20","400","35","80","6","1259.4","Gangetic alluvial"
"Nadia","22.53","24.11","88.9","88.48","Peas","Kharif","25","115","35","20","6","1259.4","Gangetic alluvial"
"Hoogly","22.45","22.7","88.19","88.32","Cabbage","Kharif","21","780","26","80","5.5","1500","New alluvial"
"Hoogly","22.45","22.7","88.19","88.32","Onion","Kharif","25","1000","26","70","5.5","1500","New alluvial"
"Howrah","22.48","22.12","88.23","87.5","Paddy","Kharif","25","1750","30","70","5.5","3470","New alluvial"
"Howrah","22.48","22.12","88.23","87.5","Jute","Kharif","30","5400","30","80","5.5","3470","New alluvial"
"Howrah","22.48","22.12","88.23","87.5","Potato","Kharif","17","500","30","85","5.5","3470","New alluvial"
"Purba Mednipur","21.36","22.57","86.33","88.5","Paddy","Kharif","25","1750","30.52","70","3.4","1350","Slight acidic alluvial"
"Paschim Mednipur","21.46","22.57","88.12","86.33","Oil seed","Whole year","27","900","30","8","7","3360.7","Alluvial"
"Paschim Mednipur","21.46","22.57","88.12","86.33","Potato","Kharif","17","500","30","85","7","3360.7","Alluvial"
"Bankura","22.38","23.38","86.36","87.46","Potato","Kharif","17","500","30.04","85","6.5","1400","Red "
"Bankura","22.38","23.38","86.36","87.46","Radish","Rabi","30","240","30.04","13","6.5","1400","Red "
"Purba Bardhaman","23.53","22.56","88.25","87.56","Potato","Kharif","17","500","30.5","85","5.5","1350","Alluvial"
"South 24 PGNS","20.2","22.06","88.2","88.6","Potato","Whole year","17","500","32","85","7.1","1400","Clay"
"South 24 PGNS","20.2","22.06","88.2","88.6","Papaya","Kharif","30","520","32","75","7.1","1400","Clay"
"South 24 PGNS","20.2","22.06","88.2","88.6","Cauliflower","Rabi","20","400","32","80","7.1","1400","Clay"
"South 24 PGNS","20.2","22.06","88.2","88.6","Tomato","Kharif","27","500","32","80","7.1","1400","Clay"
"South 24 PGNS","20.2","22.06","88.2","88.6","Chilli","Whole year","25","2600","32","75","7.1","1400","Clay"
"Murshidabad","23.43","24.52","87.49","88.44","Tomato","Kharif","27","500","23","80","5.5","1390","New alluvial"
"Murshidabad","23.43","24.52","87.49","88.44","Cabbage","Whole year","21","780","23","80","5.5","1390","New alluvial"
"Murshidabad","23.43","24.52","87.49","88.44","Cauliflower","Rabi","20","400","23","80","5.5","1390","New alluvial"
"Murshidabad","23.43","24.52","87.49","88.44","Potato","Kharif","17","500","23","85","5.5","1390","New alluvial"
"Birbhum","23.32","24.35","88.1","87.5","Mustard","Rabi","17","600","20","30","9.5","1328","Saline"
"Paschim Bardhaman","23.53","22.56","88.25","87.56","Potato","Kharif","17","500","24","85","6.5","1405","Laterite"
"Kolkata","22.37","22.3","88.23","88.88","Potato","Kharif","17","500","26.8","85","65.5","1836.5","Alluvial"
"Kolkata","22.37","22.3","88.23","88.88","Cauliflower","Rabi","20","400","26.8","80","65.5","1836.5","Alluvial"
"Almora","29.3","29.5","79.3","79.6","Lime","Whole year","30","100","20.74","50","0.8","1305.2","Loamy"
"Almora","29.3","29.5","79.3","79.6","maize","Kharif","30","220","20.74","60","0.8","1305.2","Loamy"
"Almora","29.3","29.5","79.3","79.6","Wheat","Rabi","24","1700","20.74","55","0.8","1305.2","Loamy"
"Almora","29.3","29.5","79.3","79.6","Barley","Rabi","35","500","20.74","40","0.8","1305.2","Loamy"
"Bageshwar","29.51","29.5","79.46","79.6","Rice","Kharif","30","2300","20.7","90","0.8","1397.3","Sandy "
"Chamoli","29.55","31.03","79.02","80.03","wheat","Rabi","24","1700","28","55","0.8","1157.2","Alkaline"
"Champawat","29.3","30.7","80.09","81","Oil seed","Whole year","27","900","24.6","8","4.4","1811.8","Sandy soil"
"Dehradun","30.01","31.2","77.34","78.18","Basmati rice","Kharif","30","1150","27.9","90","7.1","1837","Alluvial"
"Garhwal","29.45","30.15","78.24","79.23","Sugarcane","Kharif","27","800","28","95","2","297.2","Alluvial"
"Haridwar","29.9","20.3","78.1","79.3","Sugarcane","Kharif","27","800","30","95","8","115.1","Alluvium derived"
"Nainital","28.58","29.36","78.51","78.58","Peas","Kharif","25","115","21.5","20","6","1292.4","Quartzite"
"Nainital","28.58","29.36","78.51","78.58","Potato","Kharif","17","500","21.5","85","6","1292.4","Quartzite"
"Nainital","28.58","29.36","78.51","78.58","Cabbage","Whole year","21","780","21.5","80","6","1292.4","Quartzite"
"Nainital","28.58","29.36","78.51","78.58","Chilli","Whole year","25","2600","21.5","75","6","1292.4","Quartzite"
"Pithoragarh","29.4","30.3","80","81","Barley","Rabi","35","1190","26","40","3.5","2013.2","Rocky soil"
"Rudraprayag","30.16","30.6","78.58","79.6","Tomato","Kharif","27","500","26","80","0.8","1274","Brown forest soil"
"Rudraprayag","30.16","30.6","78.58","79.6","Brinjal","Rabi","21","1200","26","75","0.8","1274","Brown forest soil"
"Rudraprayag","30.16","30.6","78.58","79.6","Chilli","Whole year","25","2600","26","75","0.8","1274","Brown forest soil"
"Rudraprayag","30.16","30.6","78.58","79.6","Pea","Kharif","25","115","26","20","0.8","1274","Brown forest soil"
"Rudraprayag","30.16","30.6","78.58","79.6","Finger millet","Kharif","25","220","26","17","0.8","1274","Brown forest soil"
"Tehri","30.17","30.29","78.52","78.31","Rice","Kharif","30","2300","25","90","1.7","1532.2","Sandy"
"US Nagar","28.9","30.6","79.4","80.1","Wheat","Rabi","24","1700","28.8","55","6.2","1174.3","Alluvial"
"US Nagar","28.9","30.6","79.4","80.1","Rice","Kharif","30","2300","28.8","90","6.2","1174.3","Alluvial"
"Uttarkashi","30.27","31.27","77.48","79.24","Paddy","Kharif","25","1750","19.96","70","0.8","235.6","Alluvial"
